,ids,texts,user_ids,user_screen_name,sources,retweeteds,retweet_counts,is_quote_statuses,in_reply_to_user_ids,in_reply_to_screen_names,favoriteds,favorite_counts,user_mentionses,created_ats
2165,1369955518639267845,"Hai Sobat Kocir, 
ASN KPU Patuh akan Surat Edaran Menpan-RB Nomor 06/2021 tentang Pembatasan Kegiatan Berpergian Ke… https://t.co/byHYNypbed",1346744331764256769,JdihKPUCirebon,Twitter for Android,False,0,False,,,False,1,[],2021-03-11 10:17:02
2166,1369955402528399362,Pilot hingga Driver Ojol Bakal Divaksin Covid-19 Pekan Depan https://t.co/IsYV6WvFqL https://t.co/oWsoybWcfM,2251383210,AhmadNorMaulana,dlvr.it,False,0,False,,,False,0,[],2021-03-11 10:16:35
2167,1369955396736090113,Puluhan Ribu Guru di Kota Bandung Daftar Vaksinasi Covid-19 https://t.co/f1CZaxiPUT https://t.co/BCobOeaKVU,2251383210,AhmadNorMaulana,dlvr.it,False,0,False,,,False,0,[],2021-03-11 10:16:33
2168,1369955249931304961,"RT @KemenkesRI: Kata mereka yang telah disuntik vaksin COVID-19.

#VaksinasiNasional https://t.co/BKCQiCS762",1114032109708926976,walaishere,Twitter for Android,False,52,False,,,False,0,"[{'screen_name': 'KemenkesRI', 'name': 'Kemenkes RI', 'id': 161236190, 'id_str': '161236190', 'indices': [3, 14]}]",2021-03-11 10:15:58
2169,1369955222399852545,RT @KemenkesRI: Vaksinasi massal COVID-19 tahap kedua bagi 1.000 tokoh lintas agama Provinsi Jawa Tengah digelar di Aula Masjid Agung Jawa…,1114032109708926976,walaishere,Twitter for Android,False,58,False,,,False,0,"[{'screen_name': 'KemenkesRI', 'name': 'Kemenkes RI', 'id': 161236190, 'id_str': '161236190', 'indices': [3, 14]}]",2021-03-11 10:15:52
2170,1369955046247436290,"@humaspoldajatim 
Jelang libur Isra Miraj Nabi Muhammad SAW dan Hari Raya Nyepi 2021 Jangan berpergian ke luar kota… https://t.co/LgvHfXP91B",119031890,Sek_Kendal,Twitter for Android,False,0,False,185101017.0,HumasPoldaJatim,False,1,"[{'screen_name': 'HumasPoldaJatim', 'name': 'HUMAS POLDA JATIM', 'id': 185101017, 'id_str': '185101017', 'indices': [0, 16]}]",2021-03-11 10:15:10
2171,1369955003457179651,RT @blantik_pedhet: @Corona_KafirNw Entahlah https://t.co/d3X2HGOddr,825004726638907392,haluanghabang,Twitter for Android,False,1,False,,,False,0,"[{'screen_name': 'blantik_pedhet', 'name': 'ꦫꦸꦭꦾꦗꦺꦴ 💓🇮🇩🇮🇩', 'id': 815290931003826176, 'id_str': '815290931003826176', 'indices': [3, 18]}, {'screen_name': 'Corona_KafirNw', 'name': 'Sora TaranBala✝️🇮🇩✝️', 'id': 1311573979103076352, 'id_str': '1311573979103076352', 'indices': [20, 35]}]",2021-03-11 10:15:00
2172,1369954972486406145,RT @detikcom: Tepat setahun lalu WHO resmi menetapkan COVID-19 sebagai pandemi. Simak lagi perjalanannya: https://t.co/badxqJSJLm,1458617708,KurniawanRicho,Twitter for Android,False,5,False,,,False,0,"[{'screen_name': 'detikcom', 'name': 'detikcom', 'id': 69183155, 'id_str': '69183155', 'indices': [3, 12]}]",2021-03-11 10:14:52
2173,1369954790382313474,Epidemiolog: Sulit Buktikan Kasus Corona B117 di Indonesia dari Kepulangan WNI https://t.co/vaGQA72Z3u https://t.co/Dd5hlG5wS6,2251383210,AhmadNorMaulana,dlvr.it,False,0,False,,,False,0,[],2021-03-11 10:14:09
2174,1369954768123166723,FOTO: Gerakan Satu Juta Sajadah Pelindung COVID-19 https://t.co/u7HuFcuvIA https://t.co/AnXu0VY85a,2251383210,AhmadNorMaulana,dlvr.it,False,0,False,,,False,0,[],2021-03-11 10:14:03
